#YY  MM DD hh mm WVHT  SwH  SwP  WWH  WWP SwD WWD  STEEPNESS  APD MWD
#yr  mo dy hr mn    m    m  sec    m  sec  -  degT     -      sec degT
2024 02 12 16 56  2.4  1.8 14.3  1.6  9.9 NNE NNE      SWELL  8.2  18
2024 02 12 16 26  2.5  2.1 14.3  1.5  9.9 NNE NNE      SWELL  9.0  15
2024 02 12 15 56  2.1  1.7 15.4  1.4  9.9   N NNE      SWELL  8.2  11
2024 02 12 15 26  2.2  1.8 14.3  1.4  9.9 NNE NNE      SWELL  8.7  18
2024 02 12 14 56  2.2  1.7 14.3  1.4  9.9   N   N      SWELL  8.7  10
2024 02 12 14 26  2.4  1.9 13.3  1.4  9.9 NNE NNE      SWELL  9.3  22
2024 02 12 13 56  2.2  1.8 14.3  1.3  9.9 NNE NNE      SWELL  9.0  14
2024 02 12 13 26  2.1  1.6 15.4  1.4  9.9 NNE NNE      SWELL  8.7  17
2024 02 12 12 56  2.2  1.8 15.4  1.4  9.1 NNE NNE      SWELL  9.0  15
2024 02 12 12 26  2.3  1.8 13.3  1.4  9.9 NNE NNE      SWELL  9.1  18
2024 02 12 11 56  2.2  1.7 14.3  1.4  9.9 NNE NNE      SWELL  8.4  15
2024 02 12 11 26  2.1  1.7 14.3  1.4  9.9 NNE   N      SWELL  8.6  15
2024 02 12 10 56  2.2  1.7 14.3  1.6  9.9 NNE NNE      SWELL  8.5  17
2024 02 12 10 26  2.4  2.0 14.3  1.4  9.9 NNE   N      SWELL  9.2  15
2024 02 12 09 56  2.3  1.9 13.3  1.4  9.1 NNE   N      SWELL  8.8  15
2024 02 12 09 26  2.3  1.8 14.3  1.4  9.9 NNE NNE      SWELL  8.7  15
2024 02 12 08 56  2.4  1.9 14.3  1.5  9.9 NNE   N      SWELL  8.8  14
2024 02 12 08 26  2.3  1.7 15.4  1.5  9.9 NNE NNE      SWELL  8.5  19
2024 02 12 07 56  2.2  1.7 14.3  1.4  9.9   N NNE      SWELL  8.5  11
2024 02 12 07 26  2.0  1.4 12.5  1.4  9.9   N NNE      SWELL  8.1   8
2024 02 12 06 56  2.5  1.9 13.3  1.6  9.9 NNE NNE      SWELL  9.0  14
2024 02 12 06 26  2.3  1.8 14.3  1.4  5.9 NNE  NE      SWELL  8.8  15
2024 02 12 05 56  2.2  1.6 14.3  1.5  9.9 NNE NNE      SWELL  8.4  15
2024 02 12 05 26  2.2  1.7 15.4  1.4  9.9   N   N      SWELL  8.5  11
2024 02 12 04 56  2.4  1.8 15.4  1.6  9.9 NNE NNE      SWELL  8.7  17
2024 02 12 04 26  2.4  1.8 14.3  1.5  6.2 NNE  NE      SWELL  8.4  18
2024 02 12 03 56  2.5  2.0 14.3  1.6  5.9 NNE  NE      SWELL  8.7  15
2024 02 12 03 26  2.2  1.6 15.4  1.4  9.1   N   N      SWELL  8.2   5
2024 02 12 02 56  2.4  1.9 14.3  1.5  9.9 NNE NNE      SWELL  8.9  14
2024 02 12 02 26  2.4  1.9 12.5  1.4  9.1 NNE NNE      SWELL  8.8  12
2024 02 12 01 56  2.4  1.9 14.3  1.4  9.9 NNE   N      SWELL  9.1  15
2024 02 12 01 26  2.5  2.0 15.4  1.5  9.9 NNE   N      SWELL  8.9  17
2024 02 12 00 56  2.3  1.8 14.3  1.5  9.9 NNE NNE      SWELL  8.6  15
2024 02 12 00 26  2.2  1.6 15.4  1.5  9.9   N NNE      SWELL  8.1  11
2024 02 11 23 56  2.3  1.7 11.1  1.6  9.9 NNE   N      SWELL  7.9  15
2024 02 11 23 26  2.5  1.9 13.3  1.6  6.7 NNE NNE      SWELL  8.4  18
