Time	 FairTen1	 
0	 51718	 
0.01	 51735	 
0.02	 51747.6	 
0.03	 51756.3	 
0.04	 51768	 
0.05	 51862.7	 
0.06	 52418.3	 
0.07	 54135.6	 
0.08	 57178.5	 
0.09	 60935	 
0.1	 64901.7	 
0.11	 68838.7	 
0.12	 72648.5	 
0.13	 76297	 
0.14	 79777.6	 
0.15	 83094.6	 
0.16	 86256.8	 
0.17	 89274.6	 
0.18	 92158.9	 
0.19	 94920.3	 
0.2	 97568.5	 
0.21	 100113	 
0.22	 102561	 
0.23	 104920	 
0.24	 107197	 
0.25	 109398	 
0.26	 111529	 
0.27	 113593	 
0.28	 115596	 
0.29	 117541	 
0.3	 119431	 
0.31	 121271	 
0.32	 123062	 
0.33	 124807	 
0.34	 126509	 
0.35	 128170	 
0.36	 129790	 
0.37	 131374	 
0.38	 132920	 
0.39	 134432	 
0.4	 135911	 
0.41	 137357	 
0.42	 138772	 
0.43	 140156	 
0.44	 141511	 
0.45	 142838	 
0.46	 144137	 
0.47	 145409	 
0.48	 146655	 
0.49	 147875	 
0.5	 149070	 
0.51	 150240	 
0.52	 151387	 
0.53	 152511	 
0.54	 153611	 
0.55	 154690	 
0.56	 155746	 
0.57	 156781	 
0.58	 157795	 
0.59	 158788	 
0.6	 159762	 
0.61	 160715	 
0.62	 161649	 
0.63	 162563	 
0.64	 163459	 
0.65	 164337	 
0.66	 165197	 
0.67	 166039	 
0.68	 166863	 
0.69	 167671	 
0.7	 168462	 
0.71	 169236	 
0.72	 169994	 
0.73	 170736	 
0.74	 171463	 
0.75	 172175	 
0.76	 172871	 
0.77	 173553	 
0.78	 174221	 
0.79	 174874	 
0.8	 175514	 
0.81	 176140	 
0.82	 176752	 
0.83	 177352	 
0.84	 177938	 
0.85	 178512	 
0.86	 179074	 
0.87	 179623	 
0.88	 180161	 
0.89	 180687	 
0.9	 181201	 
0.91	 181704	 
0.92	 182197	 
0.93	 182678	 
0.94	 183149	 
0.95	 183610	 
0.96	 184060	 
0.97	 184500	 
0.98	 184931	 
0.99	 185352	 
1	 185764	 
1.01	 186167	 
1.02	 186560	 
1.03	 186945	 
1.04	 187321	 
1.05	 187689	 
1.06	 188049	 
1.07	 188400	 
1.08	 188743	 
1.09	 189079	 
1.1	 189407	 
1.11	 189728	 
1.12	 190041	 
1.13	 190347	 
1.14	 190646	 
1.15	 190939	 
1.16	 191224	 
1.17	 191503	 
1.18	 191776	 
1.19	 192042	 
1.2	 192302	 
1.21	 192557	 
1.22	 192805	 
1.23	 193047	 
1.24	 193284	 
1.25	 193515	 
1.26	 193741	 
1.27	 193962	 
1.28	 194177	 
1.29	 194387	 
1.3	 194593	 
1.31	 194793	 
1.32	 194989	 
1.33	 195180	 
1.34	 195367	 
1.35	 195549	 
1.36	 195727	 
1.37	 195900	 
1.38	 196069	 
1.39	 196235	 
1.4	 196396	 
1.41	 196553	 
1.42	 196707	 
1.43	 196857	 
1.44	 197003	 
1.45	 197146	 
1.46	 197285	 
1.47	 197421	 
1.48	 197553	 
1.49	 197682	 
1.5	 197808	 
1.51	 197931	 
1.52	 198051	 
1.53	 198168	 
1.54	 198282	 
1.55	 198393	 
1.56	 198501	 
1.57	 198607	 
1.58	 198709	 
1.59	 198810	 
1.6	 198908	 
1.61	 199003	 
1.62	 199096	 
1.63	 199186	 
1.64	 199274	 
1.65	 199360	 
1.66	 199444	 
1.67	 199525	 
1.68	 199604	 
1.69	 199682	 
1.7	 199757	 
1.71	 199830	 
1.72	 199901	 
1.73	 199971	 
1.74	 200038	 
1.75	 200104	 
1.76	 200168	 
1.77	 200230	 
1.78	 200291	 
1.79	 200350	 
1.8	 200407	 
1.81	 200463	 
1.82	 200517	 
1.83	 200569	 
1.84	 200621	 
1.85	 200670	 
1.86	 200719	 
1.87	 200765	 
1.88	 200811	 
1.89	 200855	 
1.9	 200898	 
1.91	 200940	 
1.92	 200980	 
1.93	 201020	 
1.94	 201058	 
1.95	 201095	 
1.96	 201131	 
1.97	 201165	 
1.98	 201199	 
1.99	 201232	 
2	 201263	 
2.01	 201294	 
2.02	 201324	 
2.03	 201352	 
2.04	 201380	 
2.05	 201407	 
2.06	 201433	 
2.07	 201458	 
2.08	 201482	 
2.09	 201505	 
2.1	 201528	 
2.11	 201550	 
2.12	 201571	 
2.13	 201591	 
2.14	 201610	 
2.15	 201629	 
2.16	 201647	 
2.17	 201665	 
2.18	 201681	 
2.19	 201697	 
2.2	 201713	 
2.21	 201728	 
2.22	 201742	 
2.23	 201755	 
2.24	 201768	 
2.25	 201781	 
2.26	 201792	 
2.27	 201804	 
2.28	 201814	 
2.29	 201825	 
2.3	 201834	 
2.31	 201844	 
2.32	 201852	 
2.33	 201860	 
2.34	 201868	 
2.35	 201876	 
2.36	 201882	 
2.37	 201889	 
2.38	 201895	 
2.39	 201900	 
2.4	 201906	 
2.41	 201910	 
2.42	 201915	 
2.43	 201919	 
2.44	 201922	 
2.45	 201926	 
2.46	 201929	 
2.47	 201931	 
2.48	 201934	 
2.49	 201935	 
2.5	 201937	 
2.51	 201938	 
2.52	 201939	 
2.53	 201940	 
2.54	 201940	 
2.55	 201940	 
2.56	 201940	 
2.57	 201940	 
2.58	 201939	 
2.59	 201938	 
2.6	 201937	 
2.61	 201935	 
2.62	 201934	 
2.63	 201932	 
2.64	 201929	 
2.65	 201927	 
2.66	 201924	 
2.67	 201921	 
2.68	 201918	 
2.69	 201915	 
2.7	 201912	 
2.71	 201908	 
2.72	 201904	 
2.73	 201900	 
2.74	 201896	 
2.75	 201891	 
2.76	 201887	 
2.77	 201882	 
2.78	 201877	 
2.79	 201872	 
2.8	 201866	 
2.81	 201861	 
2.82	 201855	 
2.83	 201850	 
2.84	 201844	 
2.85	 201838	 
2.86	 201832	 
2.87	 201825	 
2.88	 201819	 
2.89	 201812	 
2.9	 201806	 
2.91	 201799	 
2.92	 201792	 
2.93	 201785	 
2.94	 201778	 
2.95	 201770	 
2.96	 201763	 
2.97	 201755	 
2.98	 201748	 
2.99	 201740	 
3	 201732	 
3.01	 201724	 
3.02	 201716	 
3.03	 201708	 
3.04	 201700	 
3.05	 201692	 
3.06	 201683	 
3.07	 201675	 
3.08	 201666	 
3.09	 201658	 
3.1	 201649	 
3.11	 201640	 
3.12	 201632	 
3.13	 201623	 
3.14	 201614	 
3.15	 201605	 
3.16	 201595	 
3.17	 201586	 
3.18	 201577	 
3.19	 201568	 
3.2	 201558	 
3.21	 201549	 
3.22	 201539	 
3.23	 201530	 
3.24	 201520	 
3.25	 201510	 
3.26	 201501	 
3.27	 201491	 
3.28	 201481	 
3.29	 201471	 
3.3	 201461	 
3.31	 201451	 
3.32	 201441	 
3.33	 201431	 
3.34	 201421	 
3.35	 201411	 
3.36	 201401	 
3.37	 201390	 
3.38	 201380	 
3.39	 201370	 
3.4	 201359	 
3.41	 201349	 
3.42	 201338	 
3.43	 201328	 
3.44	 201318	 
3.45	 201307	 
3.46	 201296	 
3.47	 201286	 
3.48	 201275	 
3.49	 201264	 
3.5	 201254	 
3.51	 201243	 
3.52	 201232	 
3.53	 201221	 
3.54	 201211	 
3.55	 201200	 
3.56	 201189	 
3.57	 201178	 
3.58	 201167	 
3.59	 201156	 
3.6	 201145	 
3.61	 201134	 
3.62	 201123	 
3.63	 201112	 
3.64	 201101	 
3.65	 201090	 
3.66	 201079	 
3.67	 201068	 
3.68	 201057	 
3.69	 201046	 
3.7	 201034	 
3.71	 201023	 
3.72	 201012	 
3.73	 201001	 
3.74	 200990	 
3.75	 200978	 
3.76	 200967	 
3.77	 200956	 
3.78	 200945	 
3.79	 200933	 
3.8	 200922	 
3.81	 200911	 
3.82	 200899	 
3.83	 200888	 
3.84	 200876	 
3.85	 200865	 
3.86	 200854	 
3.87	 200842	 
3.88	 200831	 
3.89	 200819	 
3.9	 200808	 
3.91	 200797	 
3.92	 200785	 
3.93	 200774	 
3.94	 200762	 
3.95	 200751	 
3.96	 200739	 
3.97	 200728	 
3.98	 200716	 
3.99	 200705	 
4	 200693	 
4.01	 200682	 
4.02	 200670	 
4.03	 200659	 
4.04	 200647	 
4.05	 200635	 
4.06	 200624	 
4.07	 200612	 
4.08	 200601	 
4.09	 200589	 
4.1	 200578	 
4.11	 200566	 
4.12	 200554	 
4.13	 200543	 
4.14	 200531	 
4.15	 200520	 
4.16	 200508	 
4.17	 200496	 
4.18	 80740.8	 
4.19	 69456.7	 
4.2	 63344.6	 
4.21	 58743.1	 
4.22	 54936.3	 
4.23	 51651.2	 
4.24	 48752.8	 
4.25	 46161.9	 
4.26	 43826.8	 
4.27	 41710.8	 
4.28	 39786	 
4.29	 38030.4	 
4.3	 36425.9	 
4.31	 34957.3	 
4.32	 33611.6	 
4.33	 32377.4	 
4.34	 31244.8	 
4.35	 30204.9	 
4.36	 29249.6	 
4.37	 28371.9	 
4.38	 27565.1	 
4.39	 26823.5	 
4.4	 26141.8	 
4.41	 25514.9	 
4.42	 24938.5	 
4.43	 24408.5	 
4.44	 23921.2	 
4.45	 23473.1	 
4.46	 23061.1	 
4.47	 22682.3	 
4.48	 22334.1	 
4.49	 22014.1	 
4.5	 21720.1	 
4.51	 21449.9	 
4.52	 21201.7	 
4.53	 20973.8	 
4.54	 20764.5	 
4.55	 20572.4	 
4.56	 20396.2	 
4.57	 20234.5	 
4.58	 20086.3	 
4.59	 19950.5	 
4.6	 19826.1	 
4.61	 19712.2	 
4.62	 19607.9	 
4.63	 19512.6	 
4.64	 19425.5	 
4.65	 19346	 
4.66	 19273.4	 
4.67	 19207.2	 
4.68	 19147	 
4.69	 19092.1	 
4.7	 19042.3	 
4.71	 18997.1	 
4.72	 18956.1	 
4.73	 18918.9	 
4.74	 18885.4	 
4.75	 18855.2	 
4.76	 18828	 
4.77	 18803.5	 
4.78	 18781.6	 
4.79	 18762.1	 
4.8	 18744.7	 
4.81	 18729.2	 
4.82	 18715.6	 
4.83	 18703.6	 
4.84	 18693.1	 
4.85	 18684	 
4.86	 18676.2	 
4.87	 18669.6	 
4.88	 18664	 
4.89	 18659.3	 
4.9	 18655.6	 
4.91	 18652.6	 
4.92	 18650.4	 
4.93	 18648.8	 
4.94	 18647.8	 
4.95	 18647.4	 
4.96	 18647.4	 
4.97	 18647.9	 
4.98	 18648.8	 
4.99	 18650.1	 
5	 18651.6	 
5.01	 18653.5	 
5.02	 18655.6	 
5.03	 18658	 
5.04	 18660.5	 
5.05	 18663.2	 
5.06	 18666.1	 
5.07	 18669.1	 
5.08	 18672.2	 
5.09	 18675.4	 
5.1	 18678.7	 
5.11	 18682.1	 
5.12	 18685.6	 
5.13	 18689	 
5.14	 18692.5	 
5.15	 18696.1	 
5.16	 18699.6	 
5.17	 18703.2	 
5.18	 18706.7	 
5.19	 18710.3	 
5.2	 18713.8	 
5.21	 18717.3	 
5.22	 18720.8	 
5.23	 18724.3	 
5.24	 18727.8	 
5.25	 18731.2	 
5.26	 18734.5	 
5.27	 18737.9	 
5.28	 18741.2	 
5.29	 18744.4	 
5.3	 18747.6	 
5.31	 18750.8	 
5.32	 18753.9	 
5.33	 18757	 
5.34	 18760	 
5.35	 18763	 
5.36	 18765.9	 
5.37	 18768.7	 
5.38	 18771.6	 
5.39	 18774.3	 
5.4	 18777	 
5.41	 18779.7	 
5.42	 18782.3	 
5.43	 18784.9	 
5.44	 18787.4	 
5.45	 18789.8	 
5.46	 18792.3	 
5.47	 18794.6	 
5.48	 18796.9	 
5.49	 18799.2	 
5.5	 18801.4	 
5.51	 18803.6	 
5.52	 18805.7	 
5.53	 18807.8	 
5.54	 18809.8	 
5.55	 18811.8	 
5.56	 18813.8	 
5.57	 18815.7	 
5.58	 18817.5	 
5.59	 18819.3	 
5.6	 18821.1	 
5.61	 18822.9	 
5.62	 18824.6	 
5.63	 18826.2	 
5.64	 18827.9	 
5.65	 18829.4	 
5.66	 18831	 
5.67	 18832.5	 
5.68	 18834	 
5.69	 18835.4	 
5.7	 18836.9	 
5.71	 18838.2	 
5.72	 18839.6	 
5.73	 18840.9	 
5.74	 18842.2	 
5.75	 18843.5	 
5.76	 18844.7	 
5.77	 18845.9	 
5.78	 18847.1	 
5.79	 18848.2	 
5.8	 18849.3	 
5.81	 18850.4	 
5.82	 18851.5	 
5.83	 18852.6	 
5.84	 18853.6	 
5.85	 18854.6	 
5.86	 18855.6	 
5.87	 18856.6	 
5.88	 18857.5	 
5.89	 18858.5	 
5.9	 18859.4	 
5.91	 18860.4	 
5.92	 18861.3	 
5.93	 18862.2	 
5.94	 18863.2	 
5.95	 18864.1	 
5.96	 18865.1	 
5.97	 18866.1	 
5.98	 18867.2	 
5.99	 18868.3	 
6	 18869.5	 
6.01	 18870.8	 
6.02	 18872.2	 
6.03	 18873.8	 
6.04	 18875.6	 
6.05	 18877.6	 
6.06	 18880	 
6.07	 18882.8	 
6.08	 18886.1	 
6.09	 18890	 
6.1	 18894.7	 
6.11	 18900.4	 
6.12	 18907.3	 
6.13	 18915.6	 
6.14	 18925.7	 
6.15	 18938.1	 
6.16	 18953.3	 
6.17	 18971.8	 
6.18	 18994.6	 
6.19	 19022.5	 
6.2	 19056.7	 
6.21	 19098.6	 
6.22	 19150	 
6.23	 19213	 
6.24	 19289.9	 
6.25	 19383.6	 
6.26	 19497.6	 
6.27	 19635.8	 
6.28	 19802.4	 
6.29	 20002.4	 
6.3	 20240.7	 
6.31	 20522.4	 
6.32	 20852.3	 
6.33	 21234.1	 
6.34	 21670	 
6.35	 22159.8	 
6.36	 22700.2	 
6.37	 23284.1	 
6.38	 23900.6	 
6.39	 24535	 
6.4	 25170.3	 
6.41	 25789	 
